area_id,area_level,name_tr,parent_id,valid_from,valid_to,source_id,source_area_id
TR-06-015,district,Kahramankazan,TR-06,,,hdx_cod_ab_tur,TR-D-06-015
TR-06-016,district,Kalecik,TR-06,,,hdx_cod_ab_tur,TR-D-06-016
TR-06-017,district,Keçiören,TR-06,,,hdx_cod_ab_tur,TR-D-06-017
TR-06-018,district,Kızılcahamam,TR-06,,,hdx_cod_ab_tur,TR-D-06-018
TR-06-019,district,Mamak,TR-06,,,hdx_cod_ab_tur,TR-D-06-019
TR-06-020,district,Nallıhan,TR-06,,,hdx_cod_ab_tur,TR-D-06-020
TR-06-021,district,Polatlı,TR-06,,,hdx_cod_ab_tur,TR-D-06-021
TR-06-022,district,Pursaklar,TR-06,,,hdx_cod_ab_tur,TR-D-06-022
TR-06-023,district,Sincan,TR-06,,,hdx_cod_ab_tur,TR-D-06-023
TR-06-024,district,Şereflikoçhisar,TR-06,,,hdx_cod_ab_tur,TR-D-06-024
TR-06-025,district,Yenimahalle,TR-06,,,hdx_cod_ab_tur,TR-D-06-025
TR-07-001,district,Akseki,TR-07,,,hdx_cod_ab_tur,TR-D-07-001
TR-07-002,district,Aksu,TR-07,,,hdx_cod_ab_tur,TR-D-07-002
TR-07-003,district,Alanya,TR-07,,,hdx_cod_ab_tur,TR-D-07-003
TR-07-004,district,Demre,TR-07,,,hdx_cod_ab_tur,TR-D-07-004
TR-07-005,district,Döşemealtı,TR-07,,,hdx_cod_ab_tur,TR-D-07-005
TR-07-006,district,Elmalı,TR-07,,,hdx_cod_ab_tur,TR-D-07-006
TR-07-007,district,Finike,TR-07,,,hdx_cod_ab_tur,TR-D-07-007
TR-07-008,district,Gazipaşa,TR-07,,,hdx_cod_ab_tur,TR-D-07-008
TR-07-009,district,Gündoğmuş,TR-07,,,hdx_cod_ab_tur,TR-D-07-009
TR-07-010,district,İbradı,TR-07,,,hdx_cod_ab_tur,TR-D-07-010
TR-07-011,district,Kaş,TR-07,,,hdx_cod_ab_tur,TR-D-07-011
TR-07-012,district,Kemer,TR-07,,,hdx_cod_ab_tur,TR-D-07-012
TR-07-013,district,Kepez,TR-07,,,hdx_cod_ab_tur,TR-D-07-013
TR-07-014,district,Konyaaltı,TR-07,,,hdx_cod_ab_tur,TR-D-07-014
TR-07-015,district,Korkuteli,TR-07,,,hdx_cod_ab_tur,TR-D-07-015
TR-07-016,district,Kumluca,TR-07,,,hdx_cod_ab_tur,TR-D-07-016
TR-07-017,district,Manavgat,TR-07,,,hdx_cod_ab_tur,TR-D-07-017
TR-07-018,district,Muratpaşa,TR-07,,,hdx_cod_ab_tur,TR-D-07-018
TR-07-019,district,Serik,TR-07,,,hdx_cod_ab_tur,TR-D-07-019
TR-08-001,district,Ardanuç,TR-08,,,hdx_cod_ab_tur,TR-D-08-001
TR-08-002,district,Arhavi,TR-08,,,hdx_cod_ab_tur,TR-D-08-002
TR-08-003,district,Artvin,TR-08,,,hdx_cod_ab_tur,TR-D-08-003
TR-08-004,district,Borçka,TR-08,,,hdx_cod_ab_tur,TR-D-08-004
TR-08-005,district,Hopa,TR-08,,,hdx_cod_ab_tur,TR-D-08-005
TR-08-006,district,Kemalpaşa,TR-08,,,hdx_cod_ab_tur,TR-D-08-006
TR-08-007,district,Murgul,TR-08,,,hdx_cod_ab_tur,TR-D-08-007
TR-08-008,district,Şavşat,TR-08,,,hdx_cod_ab_tur,TR-D-08-008
TR-08-009,district,Yusufeli,TR-08,,,hdx_cod_ab_tur,TR-D-08-009
TR-09-001,district,Bozdoğan,TR-09,,,hdx_cod_ab_tur,TR-D-09-001
TR-09-002,district,Buharkent,TR-09,,,hdx_cod_ab_tur,TR-D-09-002
TR-09-003,district,Çine,TR-09,,,hdx_cod_ab_tur,TR-D-09-003
TR-09-004,district,Didim,TR-09,,,hdx_cod_ab_tur,TR-D-09-004
TR-09-005,district,Efeler,TR-09,,,hdx_cod_ab_tur,TR-D-09-005
TR-09-006,district,Germencik,TR-09,,,hdx_cod_ab_tur,TR-D-09-006
TR-09-007,district,İncirliova,TR-09,,,hdx_cod_ab_tur,TR-D-09-007
TR-09-008,district,Karacasu,TR-09,,,hdx_cod_ab_tur,TR-D-09-008
TR-09-009,district,Karpuzlu,TR-09,,,hdx_cod_ab_tur,TR-D-09-009
TR-09-010,district,Koçarlı,TR-09,,,hdx_cod_ab_tur,TR-D-09-010
TR-09-011,district,Köşk,TR-09,,,hdx_cod_ab_tur,TR-D-09-011
TR-09-012,district,Kuşadası,TR-09,,,hdx_cod_ab_tur,TR-D-09-012
TR-09-013,district,Kuyucak,TR-09,,,hdx_cod_ab_tur,TR-D-09-013
TR-09-014,district,Nazilli,TR-09,,,hdx_cod_ab_tur,TR-D-09-014
TR-09-015,district,Söke,TR-09,,,hdx_cod_ab_tur,TR-D-09-015
TR-09-016,district,Sultanhisar,TR-09,,,hdx_cod_ab_tur,TR-D-09-016
TR-09-017,district,Yenipazar,TR-09,,,hdx_cod_ab_tur,TR-D-09-017
TR-10-001,district,Altıeylül,TR-10,,,hdx_cod_ab_tur,TR-D-10-001
TR-10-002,district,Ayvalık,TR-10,,,hdx_cod_ab_tur,TR-D-10-002
TR-10-003,district,Balya,TR-10,,,hdx_cod_ab_tur,TR-D-10-003
TR-10-004,district,Bandırma,TR-10,,,hdx_cod_ab_tur,TR-D-10-004
TR-10-005,district,Bigadiç,TR-10,,,hdx_cod_ab_tur,TR-D-10-005
TR-10-006,district,Burhaniye,TR-10,,,hdx_cod_ab_tur,TR-D-10-006
TR-10-007,district,Dursunbey,TR-10,,,hdx_cod_ab_tur,TR-D-10-007
TR-10-008,district,Edremit,TR-10,,,hdx_cod_ab_tur,TR-D-10-008
TR-10-009,district,Erdek,TR-10,,,hdx_cod_ab_tur,TR-D-10-009
TR-10-010,district,Gömeç,TR-10,,,hdx_cod_ab_tur,TR-D-10-010
TR-10-011,district,Gönen,TR-10,,,hdx_cod_ab_tur,TR-D-10-011
TR-10-012,district,Havran,TR-10,,,hdx_cod_ab_tur,TR-D-10-012
TR-10-013,district,İvrindi,TR-10,,,hdx_cod_ab_tur,TR-D-10-013
TR-10-014,district,Karesi,TR-10,,,hdx_cod_ab_tur,TR-D-10-014
TR-10-015,district,Kepsut,TR-10,,,hdx_cod_ab_tur,TR-D-10-015
TR-10-016,district,Manyas,TR-10,,,hdx_cod_ab_tur,TR-D-10-016
TR-10-017,district,Marmara,TR-10,,,hdx_cod_ab_tur,TR-D-10-017
TR-10-018,district,Savaştepe,TR-10,,,hdx_cod_ab_tur,TR-D-10-018
TR-10-019,district,Sındırgı,TR-10,,,hdx_cod_ab_tur,TR-D-10-019
TR-10-020,district,Susurluk,TR-10,,,hdx_cod_ab_tur,TR-D-10-020
TR-11-001,district,Bilecik,TR-11,,,hdx_cod_ab_tur,TR-D-11-001
TR-11-002,district,Bozüyük,TR-11,,,hdx_cod_ab_tur,TR-D-11-002
TR-11-003,district,Gölpazarı,TR-11,,,hdx_cod_ab_tur,TR-D-11-003
TR-11-004,district,İnhisar,TR-11,,,hdx_cod_ab_tur,TR-D-11-004
TR-11-005,district,Osmaneli,TR-11,,,hdx_cod_ab_tur,TR-D-11-005
TR-11-006,district,Pazaryeri,TR-11,,,hdx_cod_ab_tur,TR-D-11-006
TR-11-007,district,Söğüt,TR-11,,,hdx_cod_ab_tur,TR-D-11-007
TR-11-008,district,Yenipazar,TR-11,,,hdx_cod_ab_tur,TR-D-11-008
TR-12-001,district,Adaklı,TR-12,,,hdx_cod_ab_tur,TR-D-12-001
TR-12-002,district,Bingöl,TR-12,,,hdx_cod_ab_tur,TR-D-12-002
TR-12-003,district,Genç,TR-12,,,hdx_cod_ab_tur,TR-D-12-003
TR-12-004,district,Karlıova,TR-12,,,hdx_cod_ab_tur,TR-D-12-004
TR-12-005,district,Kiğı,TR-12,,,hdx_cod_ab_tur,TR-D-12-005
TR-12-006,district,Solhan,TR-12,,,hdx_cod_ab_tur,TR-D-12-006
TR-12-007,district,Yayladere,TR-12,,,hdx_cod_ab_tur,TR-D-12-007
TR-12-008,district,Yedisu,TR-12,,,hdx_cod_ab_tur,TR-D-12-008
TR-13-001,district,Adilcevaz,TR-13,,,hdx_cod_ab_tur,TR-D-13-001
TR-13-002,district,Ahlat,TR-13,,,hdx_cod_ab_tur,TR-D-13-002
TR-13-003,district,Bitlis,TR-13,,,hdx_cod_ab_tur,TR-D-13-003
TR-13-004,district,Güroymak,TR-13,,,hdx_cod_ab_tur,TR-D-13-004
TR-13-005,district,Hizan,TR-13,,,hdx_cod_ab_tur,TR-D-13-005
TR-13-006,district,Mutki,TR-13,,,hdx_cod_ab_tur,TR-D-13-006
TR-13-007,district,Tatvan,TR-13,,,hdx_cod_ab_tur,TR-D-13-007
TR-14-001,district,Bolu,TR-14,,,hdx_cod_ab_tur,TR-D-14-001
TR-14-002,district,Dörtdivan,TR-14,,,hdx_cod_ab_tur,TR-D-14-002
TR-14-003,district,Gerede,TR-14,,,hdx_cod_ab_tur,TR-D-14-003
TR-14-004,district,Göynük,TR-14,,,hdx_cod_ab_tur,TR-D-14-004
TR-14-005,district,Kıbrıscık,TR-14,,,hdx_cod_ab_tur,TR-D-14-005
TR-14-006,district,Mengen,TR-14,,,hdx_cod_ab_tur,TR-D-14-006
TR-14-007,district,Mudurnu,TR-14,,,hdx_cod_ab_tur,TR-D-14-007
TR-14-008,district,Seben,TR-14,,,hdx_cod_ab_tur,TR-D-14-008
TR-14-009,district,Yeniçağa,TR-14,,,hdx_cod_ab_tur,TR-D-14-009
TR-15-001,district,Ağlasun,TR-15,,,hdx_cod_ab_tur,TR-D-15-001
TR-15-002,district,Altınyayla,TR-15,,,hdx_cod_ab_tur,TR-D-15-002
TR-15-003,district,Bucak,TR-15,,,hdx_cod_ab_tur,TR-D-15-003
TR-15-004,district,Burdur,TR-15,,,hdx_cod_ab_tur,TR-D-15-004
TR-15-005,district,Çavdır,TR-15,,,hdx_cod_ab_tur,TR-D-15-005
TR-15-006,district,Çeltikçi,TR-15,,,hdx_cod_ab_tur,TR-D-15-006
TR-15-007,district,Gölhisar,TR-15,,,hdx_cod_ab_tur,TR-D-15-007
TR-15-008,district,Karamanlı,TR-15,,,hdx_cod_ab_tur,TR-D-15-008
TR-15-009,district,Kemer,TR-15,,,hdx_cod_ab_tur,TR-D-15-009
TR-15-010,district,Tefenni,TR-15,,,hdx_cod_ab_tur,TR-D-15-010
TR-15-011,district,Yeşilova,TR-15,,,hdx_cod_ab_tur,TR-D-15-011
TR-16-001,district,Büyükorhan,TR-16,,,hdx_cod_ab_tur,TR-D-16-001
TR-16-002,district,Gemlik,TR-16,,,hdx_cod_ab_tur,TR-D-16-002
TR-16-003,district,Gürsu,TR-16,,,hdx_cod_ab_tur,TR-D-16-003
TR-16-004,district,Harmancık,TR-16,,,hdx_cod_ab_tur,TR-D-16-004
TR-16-005,district,İnegöl,TR-16,,,hdx_cod_ab_tur,TR-D-16-005
TR-16-006,district,İznik,TR-16,,,hdx_cod_ab_tur,TR-D-16-006
TR-16-007,district,Karacabey,TR-16,,,hdx_cod_ab_tur,TR-D-16-007
TR-16-008,district,Keles,TR-16,,,hdx_cod_ab_tur,TR-D-16-008
TR-16-009,district,Kestel,TR-16,,,hdx_cod_ab_tur,TR-D-16-009
TR-16-010,district,Mudanya,TR-16,,,hdx_cod_ab_tur,TR-D-16-010
TR-16-011,district,Mustafakemalpaşa,TR-16,,,hdx_cod_ab_tur,TR-D-16-011
TR-16-012,district,Nilüfer,TR-16,,,hdx_cod_ab_tur,TR-D-16-012
TR-16-013,district,Orhaneli,TR-16,,,hdx_cod_ab_tur,TR-D-16-013
TR-16-014,district,Orhangazi,TR-16,,,hdx_cod_ab_tur,TR-D-16-014
TR-16-015,district,Osmangazi,TR-16,,,hdx_cod_ab_tur,TR-D-16-015
TR-16-016,district,Yenişehir,TR-16,,,hdx_cod_ab_tur,TR-D-16-016
TR-16-017,district,Yıldırım,TR-16,,,hdx_cod_ab_tur,TR-D-16-017
TR-17-001,district,Ayvacık,TR-17,,,hdx_cod_ab_tur,TR-D-17-001
TR-17-002,district,Bayramiç,TR-17,,,hdx_cod_ab_tur,TR-D-17-002
TR-17-003,district,Biga,TR-17,,,hdx_cod_ab_tur,TR-D-17-003
